Year,Region,CAR_JpnA,CAR_MathA,CAR_Eng
é¿é{îN,ínàÊãKñÕ,ê≥ìöó¶_çë,ê≥ìöó¶_êî,ê≥ìöó¶_âp
2016,2,39.11944408,17.87648342,73.79169689
2016,4,81.50999027,2.077276134,69.69928986
2016,2,79.92039552,86.36986814,32.58164963
2016,2,83.17347261,84.4206314,8.164396504
2016,4,37.53990353,37.21395912,47.58662215
2016,4,39.01142681,64.38826397,78.32998929
2016,3,37.97622334,53.54442891,48.18229703
2016,1,16.07005986,77.25862631,72.38798707
2016,3,54.71002926,15.99880962,13.09594774
2016,3,74.12483709,13.94703606,56.01167086
2016,2,77.45147731,30.55113203,37.61482901
2016,3,1.731166112,33.72020844,83.51793423
2016,3,97.07821906,84.44397096,41.78800381
2016,4,43.32556197,71.97567614,0.372707781
2016,2,47.31923754,85.67921945,41.24807456
2016,4,46.17388164,11.9055386,49.62560556
2016,4,70.52073854,9.108651531,97.68249991
2016,3,17.86262368,0.052828492,59.24798238
2016,2,40.27768239,29.70468892,65.46803954
2016,4,28.81458747,3.541838504,94.321603
2016,4,40.9656935,45.40076092,32.79143976
2016,4,81.24254653,31.16194584,75.80290973
2016,3,44.62081306,29.34422777,94.5199607
2016,3,78.17948522,28.45739974,22.18830148
2016,3,59.60077707,74.72614575,80.40148822
2016,2,69.90669157,53.16610287,57.7057308
2016,3,74.20369692,27.76832968,69.7751769
2016,3,62.34445068,37.63584822,96.13991837
2016,2,91.0082289,7.928671716,40.86735695
2016,3,66.24993265,87.04423603,78.5263995
2016,2,91.96347708,64.94839484,24.05467294
2016,3,29.27584948,8.82940021,2.472859571
2016,4,36.66650696,80.92812569,52.27325142
2016,1,61.93614147,11.53463986,61.70691883
2016,3,27.98297629,72.51444089,44.42240469
2016,3,50.62846398,12.19069327,7.034092903
2016,2,18.29488286,29.70177764,46.08116517
2016,3,55.2612698,57.19403508,33.12955644
2016,4,44.72088254,46.22590187,5.669850396
2016,3,72.01602837,24.48384733,16.98084658
2016,1,31.4212802,78.97281941,55.77536785
2016,3,88.41473772,76.22708319,96.68868469
2016,1,61.84135043,62.88285699,67.25191412
2016,1,97.93719003,96.01744724,38.18965864
2016,3,64.17712101,46.17397344,55.82020303
2016,2,92.68283867,23.12659965,98.80875252
2016,3,24.17492512,75.0608675,10.3328824
2016,4,50.66297355,20.04536212,56.87417887
2016,2,62.8089382,57.78563572,9.148685555
2016,1,25.3062504,43.38290047,43.13951983
2016,1,64.90733589,12.52451498,58.73873437
2016,4,67.72488342,79.76949421,16.94096773
2016,3,95.72670271,46.99549466,8.392260594
2016,2,48.4611138,18.84120185,96.3660892
2016,4,44.96516163,35.4332606,79.3433244
2016,4,25.03584886,36.63057688,1.164334449
2016,3,68.32982133,46.92724894,34.32972205
2016,3,68.68708809,66.10949346,64.24202168
2016,1,2.776225473,99.58868042,89.60878169
2016,4,81.10028382,78.17337244,19.91292202
2016,2,53.23434342,86.02568981,98.28631599
2016,2,18.34860931,65.07659844,50.31112966
2016,2,53.38737586,51.63668709,87.02241009
2016,1,4.043430231,88.17434528,31.13559497
2016,2,61.19714777,63.56819371,41.30312785
2016,3,43.16759225,74.43420902,46.05942009
2016,2,27.58177584,7.006949449,89.64105365
2016,4,33.98781255,85.6637484,47.55527939
2016,4,27.92289837,69.28792154,66.28964761
2016,2,2.927825284,54.88789981,75.74687325
2016,1,59.17922104,51.20659118,13.51577071
2016,1,35.38250892,50.0796212,45.48826152
2016,2,83.07371388,64.97306834,10.8977646
2016,3,39.68157731,21.59224165,76.09178527
2016,3,31.14651209,77.68334967,65.61070826
2016,4,75.26355824,18.07023218,71.33382406
2016,1,63.31314088,54.54999259,5.91590899
2016,1,12.26300278,24.05398435,5.426477541
2016,4,2.699854846,80.75082845,3.27311945
2016,2,30.84818232,72.46452278,79.80390303
2016,3,95.55797072,89.41888057,95.3297325
2016,2,95.94046905,43.19468576,37.52889199
2016,3,86.14654856,38.91105444,8.223339859
2016,2,37.39879142,36.23089869,50.14326213
2016,2,35.64629213,34.93360515,90.34964016
2016,1,83.4892394,8.382650592,74.82804734
2016,3,95.94949922,19.06428939,50.73066654
2016,3,7.367691215,27.27485083,64.20415954
2016,3,79.70252186,56.61157648,30.10611914
2016,3,35.65683156,1.848333086,2.241245419
2016,3,38.68361968,86.07770297,79.70409833
2016,4,57.49321278,80.31598562,13.42089158
2016,3,9.314681818,68.7768246,27.13376492
2016,1,22.37816426,46.92000359,27.62679729
2016,2,38.60533778,75.29050816,71.66756716
2016,2,55.11673634,0.734326928,4.915019518
2016,4,15.9227072,77.89502588,42.88493719
2016,3,40.96376764,9.9556679,52.00491194
