Year,Region,CAR_JpnA,CAR_MathA,CAR_Eng
é¿é{îN,ínàÊãKñÕ,ê≥ìöó¶_çë,ê≥ìöó¶_êî,ê≥ìöó¶_âp
2018,3,94.13680225,46.13727982,2.90669896
2018,2,36.26848752,1.187398871,72.39231607
2018,1,72.50697062,54.54886007,69.29234274
2018,4,27.56850175,69.17835667,7.106453627
2018,1,35.0975493,99.47418301,40.80331153
2018,3,29.03055946,41.11161994,27.94754702
2018,2,16.89986282,13.94218455,47.82320113
2018,3,6.958666617,98.9450839,82.00573622
2018,4,14.78168491,11.12616618,72.04334762
2018,3,54.79149094,54.90208487,55.41824439
2018,2,43.61547273,51.22363082,89.29661395
2018,2,45.57670046,28.48419108,33.17015419
2018,4,59.47941827,56.67581137,10.22802325
2018,3,39.27578756,89.61603605,74.44758289
2018,3,99.45880652,78.92835382,86.49601649
2018,2,97.4389178,19.8582284,40.01645949
2018,3,7.07779393,36.78090975,29.77390248
2018,2,23.56465066,45.74036369,74.34595761
2018,4,85.70199859,4.183669614,66.72006202
2018,2,37.04614136,33.25929211,91.96366185
2018,4,14.14672282,94.51447651,29.90609477
2018,2,51.86304891,91.90566765,8.143142045
2018,2,9.014450679,16.64955891,95.49959891
2018,2,39.55005142,88.6465179,14.66259496
2018,2,58.35332484,32.6077078,95.58639275
2018,2,79.4518262,97.5564959,18.47773371
2018,4,76.41307148,63.40569003,26.92193038
2018,3,46.60701402,63.89047383,54.13549763
2018,4,77.32516251,8.131507888,66.98109685
2018,3,75.10708849,55.44596887,84.57476476
2018,3,33.77282531,67.1141333,24.53463226
2018,4,29.82424134,79.15128439,60.75336445
2018,2,40.62729419,1.170147241,77.08690544
2018,3,29.96937117,15.83073502,74.80238486
2018,3,46.02052311,77.28524996,50.70321759
2018,4,37.00207331,77.28956626,8.376285175
2018,4,22.41503554,76.2565918,68.87399478
2018,2,52.44224751,85.03516773,20.23778364
2018,3,36.06407273,93.46671817,44.6098475
2018,3,28.8619226,24.62400692,87.69653259
2018,2,89.34895698,38.73744972,1.900491079
2018,2,68.96708576,67.43736558,72.40520145
2018,3,18.93317227,49.38945169,63.48070486
2018,1,1.470990946,70.56271204,73.93723828
2018,2,56.58199394,13.7647772,11.39547428
2018,2,46.52304515,19.96441984,8.08780137
2018,2,33.723759,0.307340637,58.1868121
2018,3,86.16341339,96.88286131,94.47704301
2018,2,57.68574365,37.86048402,89.28540049
2018,4,33.53837753,0.583499965,38.68846934
2018,2,82.07921944,69.83262085,64.63256835
2018,3,5.117712302,9.388318372,2.103910537
2018,3,76.25650925,90.43231863,22.78958639
2018,4,88.65682564,38.74854896,96.902271
2018,4,2.907140688,26.91240522,68.18872035
2018,2,43.49818852,92.17256643,60.77719824
2018,4,16.11715119,28.90474753,53.60882847
2018,2,13.08644422,60.49524813,84.03411829
2018,4,32.78530928,92.28870829,45.04188059
2018,2,34.64506175,62.01464583,99.11235914
2018,4,23.54777971,49.75317917,90.62296464
2018,2,64.55241088,47.53632182,70.53563347
2018,3,75.43357926,1.323024286,26.21758106
2018,4,45.17392974,19.85113308,27.12557826
2018,3,99.15936788,75.85959748,90.91851782
2018,1,72.46275705,52.25075379,6.123224693
2018,3,47.90784764,6.159152878,79.12950007
2018,3,98.30693792,26.52481404,17.01333476
2018,2,11.26040822,40.75402351,72.83510682
2018,2,88.03512978,54.61161707,27.06227941
2018,3,12.99043782,58.36004226,81.14307103
2018,2,34.82253886,19.92584807,89.81348481
2018,3,25.19888521,45.30856217,44.08048126
2018,2,19.44182038,60.71811221,42.8586412
2018,4,52.08991068,50.09369949,57.53912879
2018,3,16.75593079,7.364214314,27.22704235
2018,3,3.804961976,66.94031868,87.26230437
2018,4,13.63216901,10.13623613,87.71606287
2018,4,10.99822132,32.26412017,89.55571423
2018,2,53.57569387,26.37634726,67.47222935
2018,1,48.91466923,99.85013562,56.86335526
2018,2,49.56294449,82.95379827,36.19263979
2018,3,94.31175856,57.31920107,50.10701041
2018,3,90.66273694,2.911630549,31.65484043
2018,4,91.31120432,52.74456727,36.47265676
2018,2,8.146963539,98.09782245,57.74048103
2018,1,69.39529676,94.11925025,15.56213077
2018,3,78.73857921,37.85648065,57.32203888
2018,2,6.666194427,43.00345614,73.6887566
2018,2,91.25170695,7.059178805,47.71645846
2018,2,93.22586438,56.47489826,20.50019031
2018,3,94.5809999,24.35697546,51.91474075
2018,3,73.77614284,75.79415916,81.44727596
2018,1,45.24590493,20.56872466,68.27118474
2018,3,9.346056628,19.50154883,33.29107184
2018,3,47.30948015,87.37160384,52.41555369
2018,4,18.07199375,95.91874446,65.43787149
2018,4,23.43980023,66.79692491,56.2409971
