Year,Region,CAR_Jpn,CAR_Math,CAR_Eng
é¿é{îN,ínàÊãKñÕ,ê≥ìöó¶_çë,ê≥ìöó¶_êî,ê≥ìöó¶_âp
2019,1,50.55351862,22.18249618,22.73895678
2019,3,45.25429065,91.52901652,69.23423423
2019,1,43.05475723,99.77321795,80.00096421
2019,3,93.46478037,58.47526167,14.47052071
2019,3,5.767390134,46.78231325,9.911869023
2019,3,63.28920725,65.744214,65.9187313
2019,2,75.91255362,20.99608265,52.14159274
2019,3,68.68111088,87.90353234,61.34073249
2019,3,79.81219645,31.95975884,86.96590032
2019,1,45.94361909,60.12929176,5.008445529
2019,1,42.9410359,45.7345842,11.73741856
2019,1,3.674182506,20.28193415,19.60687012
2019,3,25.21820691,96.2435959,11.24830107
2019,3,83.25592905,94.57037762,44.89975414
2019,3,71.42627245,50.45142203,43.27623827
2019,1,95.70189885,7.839451468,12.75086783
2019,3,91.76641204,40.73977025,11.5625964
2019,3,16.81965341,89.20879531,37.6843071
2019,1,81.95622137,26.71887229,83.26883382
2019,3,95.04412435,56.10547357,50.68499115
2019,4,62.60739395,39.50453956,22.62605403
2019,3,33.9071303,69.82147715,61.35245365
2019,2,70.9331672,52.87412841,78.6239739
2019,3,4.391950974,78.09298385,71.47809722
2019,3,90.79925639,64.51690752,86.31461935
2019,3,6.612824062,41.06396639,46.07398722
2019,1,33.52706676,84.63448847,75.764763
2019,1,53.00574312,8.294100951,83.35244495
2019,1,11.2777517,82.00651917,86.13780859
2019,3,69.02039559,10.39140557,39.38578888
2019,2,65.02321754,14.77863549,95.40724608
2019,3,71.99711428,24.49265647,26.10121049
2019,2,36.48867514,27.70362246,6.450369142
2019,2,72.45331624,89.42844813,94.07320539
2019,3,84.31704962,47.00824146,67.57510212
2019,1,64.79379338,3.813450746,79.10341092
2019,3,37.2703541,84.80944082,6.410909162
2019,3,47.83701653,1.920366717,82.01879586
2019,3,43.8043523,8.812000265,84.97425995
2019,4,54.41353028,26.89985714,33.64631451
2019,3,45.53593239,22.42354096,82.2699485
2019,3,23.42788006,51.11385245,70.0840999
2019,1,39.85196435,5.656832335,26.89303584
2019,3,29.91678538,71.29445298,23.01702459
2019,3,13.94514019,95.49493179,27.86143714
2019,3,32.51549349,3.388084488,73.98107927
2019,4,17.00603709,57.38421862,89.14268449
2019,3,24.0257471,83.54933148,28.34297017
2019,3,15.69023418,64.90159432,14.71776448
2019,4,54.59944081,30.96356512,42.03732026
2019,1,8.733312039,72.55896594,7.227767559
2019,3,58.48910592,93.64284522,80.63976833
2019,3,46.25468765,19.33436187,78.74533983
2019,3,14.57250818,30.57436136,6.15794285
2019,1,98.67403157,29.44404435,43.11241427
2019,2,1.883251552,40.20689891,4.925180956
2019,3,12.20944529,59.98714775,38.11598566
2019,4,56.49384396,47.6151854,6.107520754
2019,1,42.60600554,42.23581429,24.70337253
2019,2,6.84266399,94.10999834,11.56094691
2019,1,97.04257423,29.31782292,88.74474613
2019,2,24.76882259,64.61917153,41.8352703
2019,1,99.64698799,95.6430729,9.767472393
2019,1,15.54602921,63.84484222,68.56175026
2019,3,64.38679791,77.62506888,26.57739483
2019,3,1.159492678,2.230220922,74.39866229
2019,4,63.5797474,43.55264458,74.1619435
2019,3,5.598292759,23.29469046,58.90584414
2019,2,68.31793436,91.81337312,4.076065388
2019,1,95.85675906,22.51503594,37.89834344
2019,3,86.31064251,11.90082588,19.24936624
2019,3,87.4929377,80.93735032,67.71722009
2019,1,83.89998102,1.899106389,86.99609091
2019,2,34.12985748,98.74390329,2.013596545
2019,1,1.58187622,56.43647175,64.50206353
2019,1,66.79623047,40.02710634,49.59865773
2019,3,19.13744135,69.33041993,89.78303088
2019,3,57.3892271,48.0319142,41.9754762
2019,1,10.61590653,90.71654267,20.11554048
2019,3,71.18695608,81.24708248,96.84530161
2019,2,45.14786989,68.71240351,10.70457001
2019,3,74.44010147,47.64820994,23.38232929
2019,3,94.72773117,73.21013905,77.29816015
2019,3,37.43414471,25.0232404,2.073955779
2019,3,24.74228925,31.21775623,86.46533299
2019,1,48.24111327,21.86522884,61.97583401
2019,3,8.088815141,74.34919322,97.23720143
2019,1,64.77442087,11.52275777,23.8335002
2019,2,90.79095934,84.1586308,44.49285394
2019,2,61.80823386,12.45062072,24.55568045
2019,1,65.14285378,85.00741787,64.63607574
2019,1,96.66841892,24.02351458,47.72006379
2019,3,91.62852003,56.05143351,4.352603464
2019,2,68.66172331,60.88809549,24.18581738
2019,3,83.93711726,93.52809554,42.15308374
2019,3,50.98032337,30.06040227,73.67173962
2019,3,88.81530369,57.61463175,40.71683386
2019,4,38.56682055,20.67421419,35.2550958
